season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2009,Durban,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,9,0,Kingsmead,BR Doctrove
2009,Cape Town,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,0,0,Newlands,MR Benson
2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,7,Kingsmead,BR Doctrove
2009,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,12,0,Kingsmead,HDPK Dharmasena
2009,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,0,6,St George's Park,S Asnani
2009,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,27,0,Newlands,M Erasmus
2009,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,6,Kingsmead,IL Howell
2009,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,92,0,St George's Park,BG Jerling
2009,Centurion,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,0,5,SuperSport Park,GAV Baxter
2009,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,5,Kingsmead,MR Benson
2009,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,3,0,Kingsmead,MR Benson
2009,Centurion,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,6,SuperSport Park,GAV Baxter
2009,Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,38,0,SuperSport Park,GAV Baxter
2009,East London,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,9,0,Buffalo Park,M Erasmus
2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,8,0,Kingsmead,HDPK Dharmasena
2009,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,3,St George's Park,S Asnani
2009,Johannesburg,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,18,0,New Wanderers Stadium,DJ Harper
2009,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,0,6,St George's Park,S Asnani
2009,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,9,New Wanderers Stadium,RE Koertzen
2009,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,78,0,Buffalo Park,BR Doctrove
2009,Durban,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,78,0,Kingsmead,SS Hazare
2009,Durban,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,0,9,Kingsmead,GAV Baxter
2009,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,19,0,SuperSport Park,MR Benson
2009,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,SuperSport Park,K Hariharan
2009,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,12,0,SuperSport Park,DJ Harper
2009,East London,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,0,7,Buffalo Park,M Erasmus
2009,Kimberley,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,3,De Beers Diamond Oval,GAV Baxter
2009,Kimberley,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,7,De Beers Diamond Oval,GAV Baxter
2009,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,16,0,St George's Park,BR Doctrove
2009,Johannesburg,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,New Wanderers Stadium,SL Shastri
2009,Kimberley,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,53,0,De Beers Diamond Oval,GAV Baxter
2009,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,SuperSport Park,M Erasmus
2009,Centurion,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,8,SuperSport Park,SS Hazare
2009,Durban,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,12,0,Kingsmead,DJ Harper
2009,Durban,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,0,2,Kingsmead,BR Doctrove
2009,Durban,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,2,0,Kingsmead,BR Doctrove
2009,Bloemfontein,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,OUTsurance Oval,HDPK Dharmasena
2009,Port Elizabeth,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0,7,St George's Park,SK Tarapore
2009,Johannesburg,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,6,New Wanderers Stadium,RE Koertzen
2009,Johannesburg,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,1,0,New Wanderers Stadium,S Ravi
2009,Bloemfontein,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,14,0,OUTsurance Oval,SS Hazare
2009,Centurion,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,7,SuperSport Park,SJA Taufel
2009,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,0,7,New Wanderers Stadium,IL Howell
2009,Durban,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4,Kingsmead,BG Jerling
2009,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,24,0,Kingsmead,BG Jerling
2009,Centurion,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,4,SuperSport Park,IL Howell
2009,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,12,0,SuperSport Park,IL Howell
2009,Centurion,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,6,SuperSport Park,BR Doctrove
2009,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,New Wanderers Stadium,RE Koertzen
2009,Johannesburg,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,6,0,New Wanderers Stadium,RE Koertzen
2010,Mumbai,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,11,0,Dr DY Patil Sports Academy,RE Koertzen
2010,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,4,0,Brabourne Stadium,RE Koertzen
2010,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,5,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
